"a1","a2","a3","a4","b1","b2","b3","b4"
   2,   2,   3,   2,   8,   4,   6,   8
   2,   3,   2,   2,   8,   6,   4,   8
   3,   3,   3,   3,   6,   6,   6,   6
   2,   2,   4,   4,   4,   4,   8,   8
   2,   3,   4,   3,   8,   3,   4,   9
   2,   4,   2,   4,   4,   8,   4,   8
   2,   4,   3,   3,   8,   4,   3,   9
   3,   3,   4,   2,   9,   3,   4,   8
   3,   4,   3,   2,   9,   4,   3,   8
   3,   4,   4,   4,   7,   4,   4,   8
   4,   2,   4,   2,   8,   4,   8,   4
   4,   4,   2,   2,   8,   8,   4,   4
   4,   4,   4,   3,   8,   4,   4,   7
   2,   3,   3,   5,   2,   6,   6,   8
   5,   3,   3,   2,   8,   6,   6,   2
   2,   2,   6,   3,   8,   2,   6,   9
   2,   3,   5,   6,   5,   3,   5,   9
   2,   5,   3,   6,   5,   5,   3,   9
   2,   6,   2,   3,   8,   6,   2,   9
   3,   2,   6,   2,   9,   2,   6,   8
   3,   3,   6,   5,   6,   3,   6,   8
   3,   4,   5,   6,   5,   4,   5,   8
   3,   4,   6,   3,   9,   2,   3,   9
   3,   5,   4,   6,   5,   5,   4,   8
   3,   6,   2,   2,   9,   6,   2,   8
   3,   6,   3,   5,   6,   6,   3,   8
   3,   6,   4,   3,   9,   3,   2,   9
   4,   5,   5,   6,   5,   5,   5,   7
   5,   3,   6,   3,   8,   3,   6,   6
   5,   5,   6,   6,   5,   5,   6,   6
   5,   6,   3,   3,   8,   6,   3,   6
   5,   6,   5,   6,   5,   6,   5,   6
   5,   6,   6,   5,   8,   3,   3,   8
   6,   3,   5,   2,   9,   3,   5,   5
   6,   4,   5,   3,   8,   4,   5,   5
   6,   5,   3,   2,   9,   5,   3,   5
   6,   5,   4,   3,   8,   5,   4,   5
   6,   5,   5,   4,   7,   5,   5,   5
   6,   5,   6,   5,   6,   5,   6,   5
   6,   6,   5,   5,   6,   6,   5,   5
   2,   2,   7,   5,   6,   2,   7,   9
   2,   4,   4,   7,   4,   4,   4,   9
   2,   7,   2,   5,   6,   7,   2,   9
   3,   2,   7,   3,   8,   2,   7,   8
   3,   7,   2,   3,   8,   7,   2,   8
   4,   4,   7,   7,   4,   4,   7,   7
   4,   7,   4,   7,   4,   7,   4,   7
   5,   2,   7,   2,   9,   2,   7,   6
   5,   7,   2,   2,   9,   7,   2,   6
   6,   5,   7,   6,   5,   5,   7,   5
   6,   7,   5,   6,   5,   7,   5,   5
   7,   4,   4,   2,   9,   4,   4,   4
   7,   4,   7,   4,   7,   4,   7,   4
   7,   7,   4,   4,   7,   7,   4,   4
   2,   2,   8,   7,   4,   2,   8,   9
   2,   8,   2,   7,   4,   8,   2,   9
   3,   2,   8,   4,   7,   2,   8,   8
   3,   3,   8,   8,   3,   3,   8,   8
   3,   4,   6,   8,   3,   4,   6,   8
   3,   4,   8,   7,   7,   2,   4,   9
   3,   6,   4,   8,   3,   6,   4,   8
   3,   8,   2,   4,   7,   8,   2,   8
   3,   8,   3,   8,   3,   8,   3,   8
   3,   8,   4,   7,   7,   4,   2,   9
   4,   2,   8,   3,   8,   2,   8,   7
   4,   8,   2,   3,   8,   8,   2,   7
   6,   5,   8,   7,   4,   5,   8,   5
   6,   8,   5,   7,   4,   8,   5,   5
   7,   2,   8,   2,   9,   2,   8,   4
   7,   4,   8,   3,   9,   2,   4,   7
   7,   5,   8,   6,   5,   5,   8,   4
   7,   8,   2,   2,   9,   8,   2,   4
   7,   8,   4,   3,   9,   4,   2,   7
   7,   8,   5,   6,   5,   8,   5,   4
   8,   3,   8,   3,   8,   3,   8,   3
   8,   4,   6,   3,   8,   4,   6,   3
   8,   6,   4,   3,   8,   6,   4,   3
   8,   8,   3,   3,   8,   8,   3,   3
   2,   2,   9,   9,   2,   2,   9,   9
   2,   3,   6,   9,   2,   3,   6,   9
   2,   6,   3,   9,   2,   6,   3,   9
   2,   9,   2,   9,   2,   9,   2,   9
   3,   2,   9,   5,   6,   2,   9,   8
   3,   6,   6,   9,   6,   3,   3,   9
   3,   9,   2,   5,   6,   9,   2,   8
   5,   2,   9,   3,   8,   2,   9,   6
   5,   6,   7,   9,   2,   6,   7,   6
   5,   7,   6,   9,   2,   7,   6,   6
   5,   9,   2,   3,   8,   9,   2,   6
   6,   5,   9,   8,   3,   5,   9,   5
   6,   9,   5,   8,   3,   9,   5,   5
   8,   5,   9,   6,   5,   5,   9,   3
   8,   9,   5,   6,   5,   9,   5,   3
   9,   2,   9,   2,   9,   2,   9,   2
   9,   3,   6,   2,   9,   3,   6,   2
   9,   6,   3,   2,   9,   6,   3,   2
   9,   6,   6,   3,   9,   3,   3,   6
   9,   6,   7,   5,   6,   6,   7,   2
   9,   7,   6,   5,   6,   7,   6,   2
   9,   9,   2,   2,   9,   9,   2,   2
   3,   4,   7,  10,   1,   4,   7,   8
   3,   7,   4,  10,   1,   7,   4,   8
   6,   5,  10,   6,   8,   2,   4,   8
   6,  10,   5,   6,   8,   4,   2,   8
   7,   8,   8,  10,   1,   8,   8,   4
  10,   4,   7,   3,   8,   4,   7,   1
  10,   7,   4,   3,   8,   7,   4,   1
  10,   8,   8,   7,   4,   8,   8,   1
   2,   4,   5,  11,   0,   4,   5,   9
   2,   5,   4,  11,   0,   5,   4,   9
   3,   4,  10,  11,   5,   2,   5,   9
   3,   5,   6,  11,   0,   5,   6,   8
   3,   6,   5,  11,   0,   6,   5,   8
   3,  10,   4,  11,   5,   5,   2,   9
   4,   5,   8,  11,   0,   5,   8,   7
   4,   8,   5,  11,   0,   8,   5,   7
   5,   6,  10,  11,   5,   3,   5,   8
   5,  10,   6,  11,   5,   5,   3,   8
   6,  10,  10,  11,   8,   2,   2,   9
   7,   8,  10,  11,   5,   4,   5,   7
   7,  10,   8,  11,   5,   5,   4,   7
   9,  10,  10,  11,   5,   5,   5,   6
  11,   4,   5,   2,   9,   4,   5,   0
  11,   4,  10,   3,   9,   2,   5,   5
  11,   5,   4,   2,   9,   5,   4,   0
  11,   5,   6,   3,   8,   5,   6,   0
  11,   5,   8,   4,   7,   5,   8,   0
  11,   6,   5,   3,   8,   6,   5,   0
  11,   6,  10,   5,   8,   3,   5,   5
  11,   8,   5,   4,   7,   8,   5,   0
  11,   8,  10,   7,   7,   4,   5,   5
  11,  10,   4,   3,   9,   5,   2,   5
  11,  10,   6,   5,   8,   5,   3,   5
  11,  10,   8,   7,   7,   5,   4,   5
  11,  10,  10,   6,   9,   2,   2,   8
  11,  10,  10,   9,   6,   5,   5,   5
   3,   2,  12,   3,   9,   1,   6,   9
   3,  12,   2,   3,   9,   6,   1,   9
  11,  10,  12,  11,   5,   5,   6,   5
  11,  12,  10,  11,   5,   6,   5,   5
   3,   2,  14,   5,   8,   1,   7,   9
   3,  14,   2,   5,   8,   7,   1,   9
   5,   2,  14,   3,   9,   1,   7,   8
   5,  14,   2,   3,   9,   7,   1,   8
   7,   4,  14,   7,   7,   2,   7,   7
   7,  14,   4,   7,   7,   7,   2,   7
   9,   6,  14,   9,   6,   3,   7,   6
   9,  14,   6,   9,   6,   7,   3,   6
  11,  10,  14,  13,   4,   5,   7,   5
  11,  14,  10,  13,   4,   7,   5,   5
  13,  10,  14,  11,   5,   5,   7,   4
  13,  14,  10,  11,   5,   7,   5,   4
   3,   4,  12,  15,   3,   2,   6,   9
   3,   6,   8,  15,   3,   3,   4,   9
   3,   8,   6,  15,   3,   4,   3,   9
   3,  12,   4,  15,   3,   6,   2,   9
   6,   5,  15,   6,   9,   1,   3,   9
   6,   5,  15,  11,   6,   2,   6,   8
   6,  15,   5,   6,   9,   3,   1,   9
   6,  15,   5,  11,   6,   6,   2,   8
  11,   5,  15,   6,   8,   2,   6,   6
  11,  10,  15,  11,   8,   2,   3,   8
  11,  15,   5,   6,   8,   6,   2,   6
  11,  15,  10,  11,   8,   3,   2,   8
  15,   4,  12,   3,   9,   2,   6,   3
  15,   6,   8,   3,   9,   3,   4,   3
  15,   8,   6,   3,   9,   4,   3,   3
  15,  12,   4,   3,   9,   6,   2,   3
   3,   2,  16,   7,   7,   1,   8,   9
   3,  16,   2,   7,   7,   8,   1,   9
   6,  10,  10,  16,   4,   4,   4,   8
   7,   2,  16,   3,   9,   1,   8,   7
   7,  16,   2,   3,   9,   8,   1,   7
  11,  10,  16,  15,   3,   5,   8,   5
  11,  16,  10,  15,   3,   8,   5,   5
  15,  10,  16,  11,   5,   5,   8,   3
  15,  16,  10,  11,   5,   8,   5,   3
  16,  10,  10,   6,   8,   4,   4,   4
   5,   6,  14,  17,   2,   3,   7,   8
   5,  14,   6,  17,   2,   7,   3,   8
  17,   6,  14,   5,   8,   3,   7,   2
  17,  14,   6,   5,   8,   7,   3,   2
   3,   2,  18,   9,   6,   1,   9,   9
   3,  18,   2,   9,   6,   9,   1,   9
   5,   2,  18,   5,   8,   1,   9,   8
   5,  18,   2,   5,   8,   9,   1,   8
   9,   2,  18,   3,   9,   1,   9,   6
   9,  18,   2,   3,   9,   9,   1,   6
  11,  10,  18,  17,   2,   5,   9,   5
  11,  18,  10,  17,   2,   9,   5,   5
  15,  12,  18,  15,   3,   6,   9,   3
  15,  18,  12,  15,   3,   9,   6,   3
  17,  10,  18,  11,   5,   5,   9,   2
  17,  18,  10,  11,   5,   9,   5,   2
   3,   4,  14,  19,   1,   2,   7,   9
   3,  14,   4,  19,   1,   7,   2,   9
   7,   8,  16,  19,   1,   4,   8,   7
   7,  16,   8,  19,   1,   8,   4,   7
  19,   4,  14,   3,   9,   2,   7,   1
  19,   8,  16,   7,   7,   4,   8,   1
  19,  14,   4,   3,   9,   7,   2,   1
  19,  16,   8,   7,   7,   8,   4,   1
   6,   5,  20,  11,   8,   1,   4,   9
   6,   5,  20,  16,   4,   2,   8,   8
   6,  20,   5,  11,   8,   4,   1,   9
   6,  20,   5,  16,   4,   8,   2,   8
  11,   5,  20,   6,   9,   1,   4,   8
  11,  10,  20,  11,   9,   1,   2,   9
  11,  10,  20,  16,   7,   2,   4,   8
  11,  20,   5,   6,   9,   4,   1,   8
  11,  20,  10,  11,   9,   2,   1,   9
  11,  20,  10,  16,   7,   4,   2,   8
  16,   5,  20,   6,   8,   2,   8,   4
  16,  10,  20,  11,   8,   2,   4,   7
  16,  20,   5,   6,   8,   8,   2,   4
  16,  20,  10,  11,   8,   4,   2,   7
   3,   6,  10,  21,   0,   3,   5,   9
   3,  10,   6,  21,   0,   5,   3,   9
   5,  10,  10,  21,   0,   5,   5,   8
   6,  10,  15,  21,   6,   2,   3,   9
   6,  15,  10,  21,   6,   3,   2,   9
   7,  10,  14,  21,   0,   5,   7,   7
   7,  14,  10,  21,   0,   7,   5,   7
   9,  10,  18,  21,   0,   5,   9,   6
   9,  18,  10,  21,   0,   9,   5,   6
  11,  15,  15,  21,   2,   6,   6,   6
  21,   6,  10,   3,   9,   3,   5,   0
  21,  10,   6,   3,   9,   5,   3,   0
  21,  10,  10,   5,   8,   5,   5,   0
  21,  10,  14,   7,   7,   5,   7,   0
  21,  10,  15,   6,   9,   2,   3,   6
  21,  10,  18,   9,   6,   5,   9,   0
  21,  14,  10,   7,   7,   7,   5,   0
  21,  15,  10,   6,   9,   3,   2,   6
  21,  15,  15,  11,   6,   6,   6,   2
  21,  18,  10,   9,   6,   9,   5,   0
   6,   5,  25,  16,   7,   1,   5,   9
   6,  25,   5,  16,   7,   5,   1,   9
  11,  10,  25,  21,   6,   2,   5,   8
  11,  25,  10,  21,   6,   5,   2,   8
  16,   5,  25,   6,   9,   1,   5,   7
  16,  25,   5,   6,   9,   5,   1,   7
  21,  10,  25,  11,   8,   2,   5,   6
  21,  25,  10,  11,   8,   5,   2,   6
   6,  10,  15,  26,   0,   4,   6,   8
   6,  15,  10,  26,   0,   6,   4,   8
  11,  15,  20,  26,   5,   3,   4,   8
  11,  20,  15,  26,   5,   4,   3,   8
  16,  20,  20,  26,   0,   8,   8,   4
  26,  10,  15,   6,   8,   4,   6,   0
  26,  15,  10,   6,   8,   6,   4,   0
  26,  15,  20,  11,   8,   3,   4,   5
  26,  20,  15,  11,   8,   4,   3,   5
  26,  20,  20,  16,   4,   8,   8,   0
   6,   5,  30,  21,   6,   1,   6,   9
   6,  30,   5,  21,   6,   6,   1,   9
  11,   5,  30,  11,   8,   1,   6,   8
  11,  10,  30,  21,   8,   1,   3,   9
  11,  10,  30,  26,   5,   2,   6,   8
  11,  30,   5,  11,   8,   6,   1,   8
  11,  30,  10,  21,   8,   3,   1,   9
  11,  30,  10,  26,   5,   6,   2,   8
  21,   5,  30,   6,   9,   1,   6,   6
  21,  10,  30,  11,   9,   1,   3,   8
  21,  15,  30,  21,   6,   3,   6,   6
  21,  30,   5,   6,   9,   6,   1,   6
  21,  30,  10,  11,   9,   3,   1,   8
  21,  30,  15,  21,   6,   6,   3,   6
  26,  10,  30,  11,   8,   2,   6,   5
  26,  30,  10,  11,   8,   6,   2,   5
   6,  10,  20,  31,   4,   2,   4,   9
   6,  20,  10,  31,   4,   4,   2,   9
  11,  20,  20,  31,   7,   2,   2,   9
  16,  20,  25,  31,   4,   4,   5,   7
  16,  25,  20,  31,   4,   5,   4,   7
  31,  10,  20,   6,   9,   2,   4,   4
  31,  20,  10,   6,   9,   4,   2,   4
  31,  20,  20,  11,   9,   2,   2,   7
  31,  20,  25,  16,   7,   4,   5,   4
  31,  25,  20,  16,   7,   5,   4,   4
   6,   5,  35,  26,   5,   1,   7,   9
   6,  35,   5,  26,   5,   7,   1,   9
  11,  10,  35,  31,   4,   2,   7,   8
  11,  35,  10,  31,   4,   7,   2,   8
  16,  10,  35,  21,   6,   2,   7,   7
  16,  35,  10,  21,   6,   7,   2,   7
  21,  10,  35,  16,   7,   2,   7,   6
  21,  35,  10,  16,   7,   7,   2,   6
  26,   5,  35,   6,   9,   1,   7,   5
  26,  35,   5,   6,   9,   7,   1,   5
  31,  10,  35,  11,   8,   2,   7,   4
  31,  35,  10,  11,   8,   7,   2,   4
   6,  15,  15,  36,   3,   3,   3,   9
  11,  20,  20,  36,   3,   4,   4,   8
  21,  25,  30,  36,   3,   5,   6,   6
  21,  30,  25,  36,   3,   6,   5,   6
  36,  15,  15,   6,   9,   3,   3,   3
  36,  20,  20,  11,   8,   4,   4,   3
  36,  25,  30,  21,   6,   5,   6,   3
  36,  30,  25,  21,   6,   6,   5,   3
   6,   5,  40,  31,   4,   1,   8,   9
   6,  40,   5,  31,   4,   8,   1,   9
  11,   5,  40,  16,   7,   1,   8,   8
  11,  10,  40,  31,   7,   1,   4,   9
  11,  10,  40,  36,   3,   2,   8,   8
  11,  40,   5,  16,   7,   8,   1,   8
  11,  40,  10,  31,   7,   4,   1,   9
  11,  40,  10,  36,   3,   8,   2,   8
  16,   5,  40,  11,   8,   1,   8,   7
  16,  40,   5,  11,   8,   8,   1,   7
  26,  20,  40,  31,   4,   4,   8,   5
  26,  40,  20,  31,   4,   8,   4,   5
  31,   5,  40,   6,   9,   1,   8,   4
  31,  10,  40,  11,   9,   1,   4,   7
  31,  20,  40,  26,   5,   4,   8,   4
  31,  40,   5,   6,   9,   8,   1,   4
  31,  40,  10,  11,   9,   4,   1,   7
  31,  40,  20,  26,   5,   8,   4,   4
  36,  10,  40,  11,   8,   2,   8,   3
  36,  40,  10,  11,   8,   8,   2,   3
   6,  10,  25,  41,   2,   2,   5,   9
   6,  25,  10,  41,   2,   5,   2,   9
  11,  15,  30,  41,   2,   3,   6,   8
  11,  30,  15,  41,   2,   6,   3,   8
  21,  30,  30,  41,   6,   3,   3,   8
  26,  30,  35,  41,   2,   6,   7,   5
  26,  35,  30,  41,   2,   7,   6,   5
  41,  10,  25,   6,   9,   2,   5,   2
  41,  15,  30,  11,   8,   3,   6,   2
  41,  25,  10,   6,   9,   5,   2,   2
  41,  30,  15,  11,   8,   6,   3,   2
  41,  30,  30,  21,   8,   3,   3,   6
  41,  30,  35,  26,   5,   6,   7,   2
  41,  35,  30,  26,   5,   7,   6,   2
   6,   5,  45,  36,   3,   1,   9,   9
   6,  45,   5,  36,   3,   9,   1,   9
  11,  10,  45,  41,   2,   2,   9,   8
  11,  45,  10,  41,   2,   9,   2,   8
  21,  10,  45,  21,   6,   2,   9,   6
  21,  45,  10,  21,   6,   9,   2,   6
  26,  15,  45,  26,   5,   3,   9,   5
  26,  45,  15,  26,   5,   9,   3,   5
  36,   5,  45,   6,   9,   1,   9,   3
  36,  45,   5,   6,   9,   9,   1,   3
  41,  10,  45,  11,   8,   2,   9,   2
  41,  45,  10,  11,   8,   9,   2,   2
  11,  20,  25,  46,   1,   4,   5,   8
  11,  25,  20,  46,   1,   5,   4,   8
  31,  35,  40,  46,   1,   7,   8,   4
  31,  40,  35,  46,   1,   8,   7,   4
  46,  20,  25,  11,   8,   4,   5,   1
  46,  25,  20,  11,   8,   5,   4,   1
  46,  35,  40,  31,   4,   7,   8,   1
  46,  40,  35,  31,   4,   8,   7,   1
  11,  10,  50,  41,   6,   1,   5,   9
  11,  50,  10,  41,   6,   5,   1,   9
  21,  10,  50,  21,   8,   1,   5,   8
  21,  50,  10,  21,   8,   5,   1,   8
  31,  20,  50,  31,   7,   2,   5,   7
  31,  50,  20,  31,   7,   5,   2,   7
  41,  10,  50,  11,   9,   1,   5,   6
  41,  50,  10,  11,   9,   5,   1,   6
   6,  10,  30,  51,   0,   2,   6,   9
   6,  15,  20,  51,   0,   3,   4,   9
   6,  20,  15,  51,   0,   4,   3,   9
   6,  30,  10,  51,   0,   6,   2,   9
  11,  20,  30,  51,   5,   2,   3,   9
  11,  30,  20,  51,   5,   3,   2,   9
  16,  20,  40,  51,   0,   4,   8,   7
  16,  40,  20,  51,   0,   8,   4,   7
  21,  30,  35,  51,   0,   6,   7,   6
  21,  35,  30,  51,   0,   7,   6,   6
  31,  40,  40,  51,   5,   4,   4,   7
  36,  40,  45,  51,   0,   8,   9,   3
  36,  45,  40,  51,   0,   9,   8,   3
  51,  10,  30,   6,   9,   2,   6,   0
  51,  15,  20,   6,   9,   3,   4,   0
  51,  20,  15,   6,   9,   4,   3,   0
  51,  20,  30,  11,   9,   2,   3,   5
  51,  20,  40,  16,   7,   4,   8,   0
  51,  30,  10,   6,   9,   6,   2,   0
  51,  30,  20,  11,   9,   3,   2,   5
  51,  30,  35,  21,   6,   6,   7,   0
  51,  35,  30,  21,   6,   7,   6,   0
  51,  40,  20,  16,   7,   8,   4,   0
  51,  40,  40,  31,   7,   4,   4,   5
  51,  40,  45,  36,   3,   8,   9,   0
  51,  45,  40,  36,   3,   9,   8,   0
  11,  10,  60,  51,   5,   1,   6,   9
  11,  60,  10,  51,   5,   6,   1,   9
  51,  10,  60,  11,   9,   1,   6,   5
  51,  60,  10,  11,   9,   6,   1,   5
  41,  50,  50,  61,   4,   5,   5,   6
  61,  50,  50,  41,   6,   5,   5,   4
  11,  10,  70,  61,   4,   1,   7,   9
  11,  70,  10,  61,   4,   7,   1,   9
  21,  10,  70,  31,   7,   1,   7,   8
  21,  70,  10,  31,   7,   7,   1,   8
  31,  10,  70,  21,   8,   1,   7,   7
  31,  70,  10,  21,   8,   7,   1,   7
  41,  30,  70,  51,   5,   3,   7,   6
  41,  70,  30,  51,   5,   7,   3,   6
  51,  30,  70,  41,   6,   3,   7,   5
  51,  70,  30,  41,   6,   7,   3,   5
  61,  10,  70,  11,   9,   1,   7,   4
  61,  70,  10,  11,   9,   7,   1,   4
  11,  20,  40,  71,   3,   2,   4,   9
  11,  40,  20,  71,   3,   4,   2,   9
  21,  30,  50,  71,   3,   3,   5,   8
  21,  50,  30,  71,   3,   5,   3,   8
  51,  60,  60,  71,   3,   6,   6,   5
  71,  20,  40,  11,   9,   2,   4,   3
  71,  30,  50,  21,   8,   3,   5,   3
  71,  40,  20,  11,   9,   4,   2,   3
  71,  50,  30,  21,   8,   5,   3,   3
  71,  60,  60,  51,   5,   6,   6,   3
  11,  10,  80,  71,   3,   1,   8,   9
  11,  80,  10,  71,   3,   8,   1,   9
  31,  20,  80,  51,   5,   2,   8,   7
  31,  80,  20,  51,   5,   8,   2,   7
  51,  20,  80,  31,   7,   2,   8,   5
  51,  80,  20,  31,   7,   8,   2,   5
  71,  10,  80,  11,   9,   1,   8,   3
  71,  80,  10,  11,   9,   8,   1,   3
  11,  30,  30,  81,   2,   3,   3,   9
  31,  50,  50,  81,   2,   5,   5,   7
  61,  70,  70,  81,   2,   7,   7,   4
  81,  30,  30,  11,   9,   3,   3,   2
  81,  50,  50,  31,   7,   5,   5,   2
  81,  70,  70,  61,   4,   7,   7,   2
  11,  10,  90,  81,   2,   1,   9,   9
  11,  90,  10,  81,   2,   9,   1,   9
  21,  10,  90,  41,   6,   1,   9,   8
  21,  90,  10,  41,   6,   9,   1,   8
  41,  10,  90,  21,   8,   1,   9,   6
  41,  90,  10,  21,   8,   9,   1,   6
  51,  40,  90,  71,   3,   4,   9,   5
  51,  90,  40,  71,   3,   9,   4,   5
  71,  40,  90,  51,   5,   4,   9,   3
  71,  90,  40,  51,   5,   9,   4,   3
  81,  10,  90,  11,   9,   1,   9,   2
  81,  90,  10,  11,   9,   9,   1,   2
  11,  20,  50,  91,   1,   2,   5,   9
  11,  50,  20,  91,   1,   5,   2,   9
  31,  40,  70,  91,   1,   4,   7,   7
  31,  70,  40,  91,   1,   7,   4,   7
  71,  80,  80,  91,   1,   8,   8,   3
  91,  20,  50,  11,   9,   2,   5,   1
  91,  40,  70,  31,   7,   4,   7,   1
  91,  50,  20,  11,   9,   5,   2,   1
  91,  70,  40,  31,   7,   7,   4,   1
  91,  80,  80,  71,   3,   8,   8,   1
  21,  30,  70, 101,   0,   3,   7,   8
  21,  70,  30, 101,   0,   7,   3,   8
  81,  90,  90, 101,   0,   9,   9,   2
 101,  30,  70,  21,   8,   3,   7,   0
 101,  70,  30,  21,   8,   7,   3,   0
 101,  90,  90,  81,   2,   9,   9,   0
